Année Salaire;Coefficient de revalorisation 2021;Coefficient de revalorisation 2022 janv à juin;Coefficient de revalorisation 2022 juill à dec;Coefficient de revalorisation 2023;Coefficient de revalorisation 2024
1963;15.865;16.039;16.68;16.813;17.704
1964;14.29;14.447;15.024;15.144;15.946
1965;13.367;13.514;14.054;14.166;14.916
1966;12.632;12.77;13.28;13.386;14.095
1967;11.959;12.09;12.573;12.673;13.344
1968;11.023;11.144;11.589;11.681;12.3
1969;9.556;9.661;10.047;10.127;10.663
1970;8.68;8.775;9.126;9.199;9.686
1971;7.787;7.872;8.186;8.251;8.688
1972;7.016;7.093;7.376;7.435;7.829
1973;6.483;6.554;6.816;6.87;7.234
1974;5.716;5.778;6.009;6.057;6.378
1975;4.812;4.864;5.058;5.098;5.368
1976;4.089;4.133;4.298;4.332;4.561
1977;3.527;3.565;3.707;3.736;3.934
1978;3.172;3.206;3.334;3.36;3.538
1979;2.893;2.924;3.04;3.064;3.226
1980;2.544;2.571;2.673;2.694;2.836
1981;2.245;2.269;2.359;2.377;2.502
1982;2.004;2.026;2.107;2.123;2.235
1983;1.891;1.911;1.987;2.002;2.108
1984;1.793;1.812;1.884;1.899;1.999
1985;1.718;1.736;1.805;1.819;1.915
1986;1.679;1.697;1.764;1.778;1.872
1987;1.618;1.635;1.7;1.713;1.803
1988;1.581;1.598;1.661;1.674;1.762
1989;1.525;1.541;1.602;1.614;1.699
1990;1.483;1.499;1.558;1.57;1.653
1991;1.46;1.476;1.535;1.547;1.628
1992;1.413;1.428;1.485;1.496;1.575
1993;1.413;1.428;1.485;1.496;1.575
1994;1.388;1.403;1.459;1.47;1.547
1995;1.372;1.387;1.442;1.453;1.53
1996;1.339;1.353;1.407;1.418;1.493
1997;1.325;1.339;1.392;1.403;1.477
1998;1.31;1.324;1.376;1.387;1.46
1999;1.295;1.309;1.361;1.371;1.443
2000;1.288;1.302;1.354;1.364;1.436
2001;1.263;1.276;1.327;1.337;1.407
2002;1.235;1.248;1.297;1.307;1.376
2003;1.214;1.227;1.276;1.286;1.354
2004;1.195;1.208;1.256;1.266;1.333
2005;1.175;1.187;1.234;1.243;1.308
2006;1.154;1.166;1.212;1.221;1.285
2007;1.135;1.147;1.192;1.201;1.264
2008;1.123;1.135;1.18;1.189;1.252
2009;1.113;1.125;1.17;1.179;1.241
2010;1.103;1.115;1.159;1.168;1.229
2011;1.093;1.105;1.149;1.158;1.219
2012;1.072;1.083;1.126;1.135;1.195
2013;1.051;1.062;1.104;1.112;1.17
2014;1.038;1.049;1.09;1.098;1.156
2015;1.038;1.049;1.09;1.098;1.156
2016;1.037;1.048;1.089;1.097;1.155
2017;1.037;1.048;1.089;1.097;1.155
2018;1.029;1.04;1.081;1.089;1.146
2019;1.014;1.025;1.066;1.074;1.13
2020;1.004;1.015;1.055;1.063;1.119
2021;1;1.011;1.051;1.059;1.115
2022;1;1;1.04;1.048;1.103
2023;1;1;1;1;1.053
2024;1;1;1;1;1
