Année;Taux d'appel cotisations ARRCO et Agirc-Arrco depuis 2019;Taux d'appel cotisations AGIRC
1963;100,00%;90,00%
1964;100,00%;90,00%
1965;100,00%;95,00%
1966;100,00%;100,00%
1967;100,00%;100,00%
1968;100,00%;100,00%
1969;100,00%;100,00%
1970;100,00%;100,00%
1971;102,50%;100,00%
1972;105,00%;100,00%
1973;107,50%;100,00%
1974;110,00%;100,00%
1975;110,00%;100,00%
1976;110,00%;100,00%
1977;110,00%;100,00%
1978;110,00%;100,00%
1979;110,00%;103,00%
1980;110,00%;103,00%
1981;110,00%;103,00%
1982;110,00%;103,00%
1983;115,00%;103,00%
1984;115,00%;103,00%
1985;115,00%;103,00%
1986;115,00%;106,00%
1987;117,50%;110,00%
1988;120,00%;110,00%
1989;120,00%;113,40%
1990;120,00%;117,00%
1991;123,00%;117,00%
1992;125,00%;117,00%
1993;125,00%;117,00%
1994;125,00%;121,00%
1995;125,00%;125,00%
1996;125,00%;125,00%
1997;125,00%;125,00%
1998;125,00%;125,00%
1999;125,00%;125,00%
2000;125,00%;125,00%
2001;125,00%;125,00%
2002;125,00%;125,00%
2003;125,00%;125,00%
2004;125,00%;125,00%
2005;125,00%;125,00%
2006;125,00%;125,00%
2007;125,00%;125,00%
2008;125,00%;125,00%
2009;125,00%;125,00%
2010;127,00%;127,00%
2011;127,00%;127,00%
2012;127,00%;127,00%
2013;127,00%;127,00%
2014;127,00%;127,00%
2015;127,00%;127,00%
2016;127,00%;127,00%
2017;127,00%;127,00%
2018;127,00%;127,00%
A partir de 2019;127,00%;NC
