Annee;PASS;SR_ARRCO;SR_AGIRC;SR_IRCANTEC;Taux_coti_ARRCO_TA;Taux_coti_ARRCO_T2;Taux_coti_AGIRC_TB;Taux_coti_AGIRC_TC;Taux_coti_IRCANTEC_TA;Taux_coti_IRCANTEC_TB;VP_ARRCO;VP_AGIRC;VP_IRCANTEC;GMP;Coef_revalo;;;;
1945;;;;;0,00%;0;0%;0%;;;;;;;228.18;;;;
1946;;;;;0,00%;0;0%;0%;;;;;;;187.828;;;;
1947;;;;;0,00%;0;8%;0%;;;;;;;146.308;;;;
1948;;;;;0,00%;0;8%;0%;;;;0.008005656;;;102.15;;;;
1949;;;;;0,00%;0;8%;0%;;;;0.009146941;;;86.341;;;;
1950;;;;;0,00%;0;8%;0%;;;;0.010683961;;;75.743;;;;
1951;;;;;0,00%;0;8%;0%;;;;0.015257432;;;53.749;;;;
1952;;;;;0,00%;0;8%;0%;;;;0.018676049;;;44.789;;;;
1953;;;;;0,00%;0;8%;0%;;;;0.019056127;;;44.174;;;;
1954;;;;;0,00%;0;8%;0%;;;;0.019056127;;;41.28;;;;
1955;;;;;0,00%;0;8%;0%;;;;0.019818372;;;38.046;;;;
1956;;;;;0,00%;0;8%;0%;;;;0.021342862;;;33.966;;;;
1957;;;;;0,00%;0;8%;0%;;;;0.022867353;;;31.594;;;;
1958;;0.343773;0.1982;;0,00%;0;8%;0%;;;;0.026297455;;;27.831;;;;
1959;;0.419845;0.2165;;0,00%;0;8%;0%;;;;0.029727558;;;25.187;;;;
1960;;0.495917;0.2317;;0,00%;0;8%;0%;;;;0.032776539;;;23.387;;;;
1961;;0.586245;0.2576;;0,00%;0;8%;0%;;;;0.035063274;;;20.334;;;;
1962;;0.641328;0.2836;0.227149036;2.5%;3%;8%;0%;0.025;0.067;;0.038493377;;;17.53;;;;
1963;1 592;0.700346;0.3034;0.250016388;2.5%;3%;8%;0%;0.025;0.067;;0.040017867;;;15.865;;;;
1964;1 738;0.743626;0.3308;0.26526129;2.5%;3%;8%;0%;0.025;0.067;;0.04344797;;;14.29;;;;
1965;1 866;0.782971;0.3476;0.277457211;2.5%;3%;8%;0%;0.025;0.067;;0.046878073;;;13.367;;;;
1966;1 976;0.83412;0.3674;0.288128643;2.5%;3%;8%;0%;0.025;0.067;;0.049164808;;;12.632;;;;
1967;2 086;0.869531;0.3887;0.300324564;4,00%;4%;8%;0%;0.025;0.067;;0.050689298;;;11.959;;;;
1968;2 195;0.96396;0.4223;0.344534779;4,00%;4%;8%;0%;0.025;0.067;;0.053738279;;;11.023;;;;
1969;2 488;1.054454;0.4573;0.368926622;4,00%;4%;8%;0%;0.025;0.067;;0.059988688;;;9.556;;;;
1970;2 744;1.144948;0.497;0.394842955;4,00%;4%;8%;0%;0.025;0.067;;0.064028587;;;8.68;;;;
1971;3 018;1.266918;0.5412;0.420759288;4,00%;4%;8%;0%;0.021;0.075;;0.071651038;;;7.787;;;;
1972;3 348;1.408562;0.5915;0.454298071;4,00%;4%;8%;0%;0.021;0.075;;0.078892366;;;7.016;;;;
1973;3 732;1.597419;0.6479;0.495459306;4,00%;4%;8%;0%;0.021;0.075;;0.08842043;;;6.483;;;;
1974;4 244;1.833491;0.7333;0.565585854;4,00%;4%;8%;0%;0.021;0.075;;0.098710739;;;5.716;;;;
1975;5 031;2.057759;0.8446;0.641810363;4,00%;4%;8%;0%;0.021;0.075;;0.112507375;;;4.812;;;;
1976;5 781;2.368587;0.933;0.740902224;4,00%;4%;8%;0%;0.021;0.075;;0.126532684;;;4.089;;;;
1977;6 604;2.624331;1.0275;0.824749183;4,00%;4%;8%;0%;0.021;0.075;;0.132173298;;;3.527;;;;
1978;7 318;2.943028;1.1312;0.902498182;4,00%;4%;8%;0%;0.021;0.075;;0.136746768;;;3.172;;;;
1979;8 177;3.308939;1.2638;1.004639024;4,00%;4%;8%;0%;0.021;0.075;;0.141960525;;;2.893;;;;
1980;9 165;3.785017;1.4361;1.132696198;4,00%;4%;8%;0%;0.021;0.075;;0.148820731;;;2.544;;;;
1981;10 482;4.261095;1.616;1.275998274;4,00%;4%;8%;0%;0.021;0.075;;0.155497998;;;2.245;;;;
1982;12 504;4.811929;1.7958;1.469608526;4,00%;4%;8%;0%;0.021;0.075;;0.220898626;;;2.004;;;;
1983;13 977;5.295877;1.9925;1.623582034;4,00%;4%;8%;0%;0.028;0.1;;0.246205163;;;1.891;;;;
1984;15 184;5.649984;2.116;1.737918797;4,00%;4%;8%;0%;0.028;0.1;;0.263431902;;;1.793;;;;
1985;16 272;6.074913;2.2593;1.824814736;4,00%;4%;8%;0%;0.028;0.1;;0.268767617;;;1.718;;;;
1986;17 105;6.36213;2.3782;1.885794343;4,00%;4%;8%;0%;0.028;0.1;;0.276618742;;;1.679;;;;
1987;17 809;6.63362;2.4422;1.904088225;4,00%;4%;8%;0%;0.028;0.1;;0.282488029;;;1.618;;;;
1988;18 349;6.9169;2.5429;1.940675989;4,00%;4%;8%;0%;0.035;0.125;;0.300781911;;;1.581;;;;
1989;19 099;7.24347;2.6541;2.003180086;4,00%;4%;8%;8%;0.049;0.1526;;0.309776403;;144;1.525;;;;
1990;19 977;7.59758;2.7761;2.062635203;4,00%;4%;8%;8%;0.049;0.1526;;0.319075793;;144;1.483;;;;
1991;21 001;7.93595;2.866;2.106845418;4,00%;4%;8%;8%;0.053;0.168;;0.332186409;;144;1.46;;;;
1992;21 971;8.24874;2.9316;2.172398496;4,00%;4%;8%;8%;0.045;0.14;;0.341790697;;144;1.413;;;;
1993;22 840;8.52927;2.9392;2.237951573;4,00%;4%;8%;8%;0.045;0.14;;0.351090087;;144;1.413;;;;
1994;23 343;8.6658;2.9758;2.268441376;4,00%;4%;10%;10%;0.045;0.14;;0.351090087;;144;1.388;;;;
1995;23 773;8.81335;3.0536;2.314176082;4,00%;4%;12%;12%;0.045;0.14;;0.351090087;;144;1.372;;;;
1996;24 578;9.31579;3.2258;2.358386297;4.5%;4.5%;13%;13%;0.045;0.14;;0.356349578;;144;1.339;;;;
1997;25 099;9.84695;3.3935;2.367533238;5,00%;5%;14%;14%;0.045;0.14;;0.358133231;;120;1.325;;;;
1998;25 776;10.39857;3.5216;2.399547531;5.5%;5.5%;15%;15%;0.045;0.14;;0.358133231;;120;1.31;;;;
